Attribute,Modifier
color,green
color,blond
color,red
color,yellow
color,blue
color,brown
color,olive
color,orange
color,pink
color,purple
color,black
color,white
color,golden
nationality,native
nationality,indigeneous
nationality,immigrant
nationality,American
nationality,Alsatian
nationality,European
nationality,Asian
nationality,Australian
nationality,Canadian
nationality,Japanese
nationality,Italian
nationality,Western
nationality,Indian
nationality,foreign
nationality,French
nationality,German
nationality,Chinese
nationality,Russian
nationality,Spanish
nationality,Jewish
nationality,Greek
nationality,Irish
nationality,Dutch
nationality,Soviet
nationality,African
nationality,Polish
nationality,Swedish
nationality,Scottish
nationality,Korean
nationality,Mexican
nationality,Norwegian
nationality,Turkish
nationality,Latin
nationality,Swiss
nationality,Israeli
nationality,Brazilian
nationality,Danish
nationality,Portuguese
nationality,Austrian
nationality,Hungarian
nationality,Arab
nationality,Arabian
nationality,Egyptian
nationality,Vietnamese
nationality,Welsh
gender,male
gender,female
employment,employed
employment,unemployed
military,civilian
military,military
shape,round
shape,triangular
shape,square
shape,flat
shape,circular
shape,straight
shape,curved
shape,direct
shape,vertical
shape,horizontal
direction,inner
direction,outer
life,living
life,dead
life,extinct
life,animate
life,drowning
making,natural
making,handwritten
making,handmade
making,gold
making,rhinestone
making,wooden
making,silver
making,glass
making,nuclear
making,mixed
making,electrical
making,mechanical
making,solar
habit,vegetarian
habit,carnivorous
habit,omnivorous
smell,fragrant
smell,malodorous
anonymity,anonymous
anonymity,unanonymous
origin,original
origin,quoted
price,free
location,arrested
location,rural
location,urban
location,nearby
location,residential
location,tropical
location,coastal
location,underground
location,internal
location,external
location,local
content,loaded
content,full
content,empty
personality,ruthless
personality,merciful
personality,mean
personality,human
personality,conservative
personality,radical
personality,liberal
personality,generous
personality,brave
personality,easygoing
personality,friendly
personality,honest
personality,lazy
personality,kind
personality,grumpy
personality,kind
personality,civil
personality,polite
personality,rude
personality,discourteous
personality,direct
personality,selfish
personality,shy
personality,creative
personality,artistic
weather,clear
weather,cloudy
weather,rainy
weather,showery
weather,sunny
weather,snowy
weather,foggy
luck,lucky
luck,unlucky
race,racial
race,tribal
race,ethnological
race,ethnic
crime,criminal
therapy,therapeutic
therapy,diagnostic
therapy,medical
therapy,clinical
therapy,poisonous
benefit,harmful
benefit,beneficial
neutrality,impersonal
neutrality,neutral
neutrality,biased
neutrality,discriminatory
neutrality,impartial
belonging,private
belonging,public
belonging,secret
belonging,unincorporated
nudity,nude
nudity,naked
nudity,clothed
safety,protective
safety,safe
safety,unsafe
safety,defensive
safety,armed
safety,sound
rawness,raw
rawness,cooked
rawness,uncooked
time,annual
time,classical
time,contemporary
time,medieval
time,long-term
frequency,daily
frequency,weekly
frequency,biweekly
frequency,monthly
frequency,yearly
medium,digital
medium,electric
medium,electronic
medium,mobile
belief,religious
belief,christian
belief,Catholic
belief,muslim
belief,buddhist
belief,islamic
belief,communist
genre,romantic
genre,realistic
genre,surrealistic
genre,comic
genre,literary
genre,artistic
genre,historical
quantity,total
quantity,whole
quantity,entire
quantity,complete
sector,economic
sector,financial
sector,political
sector,cultural
sector,educational
sector,academic
sector,industrial
sector,agricultural
sector,environmental
sector,commercial
sector,noncommercial
sector,naval
sector,electoral
sector,corporate
sector,architectural
sector,marine
sector,colonial
sector,martial
sector,constitutional
sector,thermal
openness,open
openness,closed
authenticity,successful
authenticity,correct
authenticity,right
authenticity,genuine
authenticity,real
authenticity,true
authenticity,scientific
authenticity,actual
authenticity,net
baldness,bald
baldness,hairless
pregnancy,pregnant
governance,democratic
governance,totalitarian
company,solo
company,single
company,married
company,accompanied
communication,online
communication,offline
perception,visual
perception,auditory
perception,verbal
perception,tactile
perception,gustatory
perception,olfactory
perception,vocal
perception,acoustic
perception,mental
perception,physical
relation,related
relation,connected
relation,unrelated
relation,disconnected
relation,spiritual
expertise,olympic
choice,selected
choice,unselected
mood,happy
mood,glad
mood,cheerful
mood,angry
mood,sad
mood,unhappy
mood,surprised
mood,scared
mood,frightened
mood,upset
mood,enraged
mood,wild
mood,depressed
existence,damaged
existence,fallen
continuity,consecutive
continuity,continuous
continuity,discontinuous
politics,anti-government
